Date,Emotion,Compound Sentiment
2022-03-20,NEG,-0.19864469026548676
2021-11-07,NEU,-0.07156666666666667
2022-02-07,NEU,-0.08078385093167693
2022-02-19,NEU,-0.15891197916666663
2021-11-19,NEG,-0.25234
2021-12-10,NEU,-0.056642105263157896
2021-11-22,NEU,-0.09615384615384616
2022-04-03,NEG,-0.3194584999999999
2022-02-22,NEG,-0.1749702999999999
2022-01-10,NEG,-0.23945199999999991
2021-11-08,NEU,-0.04209999999999999
2022-02-08,NEG,-0.23344216867469864
2022-02-16,NEU,-0.15605569620253168
2022-01-24,NEG,-0.1879345108695651
2021-10-31,NEG,-0.35883333333333334
2021-12-24,NEU,-0.07504285714285715
2021-11-16,POS,0.21259
2022-01-01,NEG,-0.21142857142857144
2022-04-12,NEG,-0.27506820000000026
2021-12-01,NEU,-0.16291
2022-03-14,NEU,-0.15277000000000004
2022-04-21,NEG,-0.2625137404580155
2022-03-27,NEG,-0.25597899280575565
2022-01-09,NEU,-0.05634799999999998
2021-12-09,NEU,-0.15546666666666667
2022-04-04,NEG,-0.23608380000000004
2021-11-25,NEG,-0.23802500000000001
2021-12-17,NEG,-0.22378235294117646
2022-03-02,NEG,-0.2132783783783785
2022-01-17,NEU,-0.07311071428571428
2022-02-25,NEU,-0.1610082
2022-03-28,NEG,-0.24647395701643524
2022-01-23,NEU,-0.11299109589041091
2022-02-11,NEG,-0.23075473684210543
2021-11-11,POS,0.07904736842105259
2021-12-23,NEU,-0.11044782608695654
2022-01-06,POS,-0.03561071428571429
2022-03-13,NEG,-0.22148050000000014
2021-12-06,NEG,-0.2037724137931034
2022-04-15,NEG,-0.2607721982758621
2021-12-18,NEG,-0.19614999999999996
2022-01-18,NEG,-0.17752250000000008
2022-03-15,NEG,-0.26923610000000003
2022-04-13,NEG,-0.25547898305084726
2021-11-09,NEG,-0.231825
2022-02-09,NEG,-0.1722176258992806
2022-02-17,NEG,-0.17795320512820528
2022-01-25,NEU,-0.14506242774566466
2022-03-30,NEG,-0.24007020000000007
2021-12-25,NEU,-0.09025
2021-11-17,NEG,-0.33765999999999996
2021-12-11,POS,0.03235714285714285
2022-04-02,NEG,-0.36153199999999963
2021-11-23,NEU,-0.08374374999999998
2022-02-23,NEU,-0.15076090000000028
2022-01-11,NEG,-0.19948749999999996
2021-11-06,NEG,-0.3724
2022-03-21,NEG,-0.2722159
2022-02-06,NEU,-0.1550232558139534
2022-02-18,NEU,-0.16978524590163946
2021-11-18,NEG,-0.2285
2022-01-07,NEU,-0.12465000000000001
2021-12-07,NEG,-0.19561562500000002
2022-04-14,NEG,-0.23093381410256447
2022-03-12,NEG,-0.2608876000000001
2021-12-19,NEG,-0.18406000000000003
2022-01-19,NEU,-0.13548631578947368
2022-03-29,NEU,-0.14000950000000018
2022-01-22,NEU,-0.16001777777777773
2022-02-10,NEU,-0.15686325301204804
2021-11-10,POS,0.7013499999999999
2021-12-22,NEG,-0.21703214285714287
2022-01-08,POS,-0.006152631578947369
2021-12-08,NEU,-0.15028620689655176
2022-03-03,NEG,-0.22077179487179505
2021-11-24,NEU,-0.09403
2022-04-05,NEG,-0.28824520000000026
2021-12-16,NEG,-0.2075611111111111
2022-01-16,NEU,-0.09158947368421055
2022-02-24,NEU,-0.1294471
2022-03-26,NEG,-0.233172340425532
2022-04-20,NEG,-0.27129142394822026
2022-02-01,NEG,-0.18625390624999996
2022-01-04,NEU,-0.055850000000000004
2022-03-11,NEG,-0.23567950000000004
2022-04-17,NEG,-0.22751400491400503
2021-12-04,NEU,-0.15922307692307686
2021-11-28,POS,0.138175
2022-04-09,NEG,-0.2454877551020411
2022-02-28,NEG,-0.20438720000000044
2022-02-13,NEG,-0.18261521197007496
2022-01-21,NEG,-0.20244278074866306
2021-12-21,NEG,-0.39481333333333335
2021-11-13,NEU,-0.15282727272727273
2022-04-18,NEG,-0.258452953586498
2021-12-15,NEU,-0.12538333333333332
2022-04-06,NEG,-0.2475985999999998
2021-11-27,NEG,-0.39254
2022-02-27,NEU,-0.15946229999999967
2022-01-15,NEG,-0.1844769230769231
2022-04-23,NEG,-0.2757513863216269
2021-11-02,POS,0.0258
2021-12-30,POS,0.09099411764705882
2022-03-25,NEU,-0.16022369999999983
2022-01-30,NEG,-0.1818525773195876
2022-02-02,NEG,-0.17714683544303797
2022-01-03,POS,-0.0227076923076923
2021-12-03,NEU,-0.13848888888888888
2022-04-10,NEG,-0.26896688654353557
2022-03-16,NEG,-0.2476393000000002
2022-01-26,NEU,-0.14875934489402673
2022-02-14,NEG,-0.2167944999999995
2021-11-14,NEU,-0.04778
2021-12-26,NEU,-0.08074615384615383
2022-03-19,NEG,-0.25798729641693835
2021-11-20,NEG,-0.237875
2022-04-01,NEG,-0.40204069999999886
2021-12-12,NEU,-0.09357647058823529
2022-01-12,NEG,-0.21243333333333334
2022-02-20,NEU,-0.14203019943019948
2022-03-22,NEG,-0.2547674169346197
2021-11-05,NEU,-0.17
2022-02-05,NEU,-0.16343139534883716
2022-01-29,NEG,-0.23521140350877173
2021-12-29,NEG,-0.3997777777777778
2022-03-24,NEG,-0.2295222787385555
2021-11-03,NEU,-0.09165000000000001
2022-04-22,NEG,-0.2474081553398061
2021-12-31,POS,0.08821874999999998
2022-01-31,NEG,-0.2408437086092715
2022-02-03,NEG,-0.2165141025641025
2022-04-19,NEG,-0.2810152631578947
2022-03-01,NEG,-0.2426349
2021-12-14,NEG,-0.3497461538461538
2021-11-26,NEG,-0.37107500000000004
2022-04-07,NEG,-0.2948515999999997
2022-02-26,NEG,-0.17524800000000004
2022-01-14,NEU,-0.14524399999999996
2022-02-12,NEG,-0.202390395480226
2022-01-20,NEU,-0.1482033149171271
2021-12-20,NEU,-0.10226428571428574
2021-11-12,POS,-0.00919166666666667
2022-01-05,NEU,-0.15596000000000002
2022-04-16,NEG,-0.23276985981308418
2021-12-05,NEU,-0.14859333333333333
2022-04-08,NEG,-0.29282865566037725
2021-11-29,NEG,-0.27432500000000004
2021-11-04,NEG,-0.28975
2022-03-23,NEG,-0.26399909999999954
2022-02-04,NEU,-0.04276047904191618
2022-01-28,NEG,-0.1874094736842104
2021-12-28,POS,0.06018000000000003
2022-03-18,NEG,-0.28606350000000014
2021-11-21,POS,-0.014700000000000008
2021-12-13,NEG,-0.3062555555555556
2022-01-13,NEU,-0.138278125
2022-02-21,NEU,-0.12684727503168572
2022-01-27,NEU,-0.16288653198653197
2022-02-15,NEU,-0.12991857749469216
2021-11-15,NEU,-0.09918181818181818
2021-12-27,NEG,-0.2812818181818182
2022-01-02,NEG,-0.22219285714285714
2022-03-17,NEG,-0.241506796116505
2021-12-02,POS,0.21161538461538465
2022-04-11,NEG,-0.23803067940552017
2021-11-30,POS,0.029991666666666666
