Date,Close/Last,Volume,Open,High,Low
04/21/2022,103.79,263513,102.5,105.42,102.01
04/20/2022,102.75,12340,103.05,104.16,100.7
04/19/2022,102.56,39654,107.75,108.92,102.1
04/18/2022,108.21,49567,107.03,109.81,106
04/14/2022,106.95,211055,104.2,107.64,102.12
04/13/2022,104.25,271093,100.91,104.47,99.87
04/12/2022,100.6,293089,95.17,101.35,94.84
04/11/2022,94.29,276968,98.4,98.52,92.93
04/08/2022,98.26,274803,97.17,98.76,95.29
04/07/2022,96.03,326388,97.16,98.82,93.81
04/06/2022,96.23,342749,101.24,104.02,95.73
04/05/2022,101.96,263168,103.66,105.59,99.88
04/04/2022,103.28,269786,98.95,103.94,98.05
04/01/2022,99.27,305041,101.23,101.75,97.78
03/31/2022,100.28,432263,107.45,107.8,99.66
03/30/2022,107.82,266301,105.24,108.75,104.55
03/29/2022,104.24,371233,103.47,107.84,98.44
03/28/2022,105.96,354375,112.92,111.89,102.83
03/25/2022,113.9,299911,111.75,114.12,108.68
03/24/2022,112.34,293172,114.47,116.64,110.61
03/23/2022,114.93,270946,108.85,115.4,108.38
03/22/2022,111.76,16841,112.9,115.01,109.3
